Rut	1	1	EG biꝛonac napiban  mido̗n a biꝛac fèièdèlmkednc̣ vala  lo̗n [èſ] èhſėǵ a fo̗ldō̗  Azéꝛt èlmėnè èmber Iudanac Bėtlèhèmė[bèn]bo̗l  hog zaꝛādoklana Moabitidiſnc̣ vidėkėbèn o̗ fèlèſėǵuèl ⁊ két fiayual 
Rut	1	2	o̗ hiuattatic Elimėlehnc̣ ⁊ o̗ fèlèſėǵė Noeminèc  o̗ két fiay eggic Maalonnac  ⁊ maſic Celionnac  Effꝛatay Iudanac̣ Bethèlemėbo̗l  Es bèmēuėiec Moabitidiſnèc videkėbè  ⁊ lakoznak== ==uala oth 
Rut	1	3	Es meghala Elimėleh  Noeminc̣ feꝛiè  ⁊ o̗ megmaꝛada o̗ fiayval 
Rut	1	4	Kic fèlèſėǵėkèt vo̗nc̣  Moabitidiakat Kiknc̣ ėggic hiuattatic== ==uala Oꝛphanac ⁊ maſic Rvtnac  Es lakozanac ot tiz èztèndèiglèn 
Rut	1	5	⁊ mōnon mėghalanac Maalon tudni mėꝛt ⁊ Celion  Es maꝛada a nēbėꝛi o̗ kèt fiaytol ⁊ feꝛieto̗l meǵvalt ·
Rut	1	6	⁊ felkèlè  hog o̗== ==hazaiaba mēnè o̗== ==kèt menėvèl Moabitidiſnc̣ videkebo̗l / Meꝛt hallotta vala  hog vr tèkėntėttė volna o̗== ==nėpėt  ⁊ adot volna o̗nèkic ėtkèkèt 
Rut	1	7	⁊ ig ki èꝛèdè o̗ zaꝛādoklatʼtʼanac hèlėbo̗l o̗== ==kèt mėnėvèl · ⁊ im̄ar a· mėǵfoꝛdolaſnac vtan vèttètuėn Iudanac fo̗ldebè ·
Rut	1	8	⁊ monda o̗ nėkic  mēńètėc tv̇ ańatoknac hazaba  Tėgen vr iꝛgalmaſſagat tv̇uèlètec · mikēt tottètec èn halottim̄al ⁊ ėn vèlèm ·
Rut	1	9	aggon tv̇nèktėc ńuǵolmat lėlnėtėc tv̇ feꝛièiteknc̣ hazocban  kikèt vèndo̗c vattoc  Es meǵapola o̗kèt  kic zauoc felèmèluėn kèzdėnc̣ ſiꝛńoc 
Rut	1	10	⁊ mōdanac  Te vèlèd mėgo̗nc te nėpèidhėz /
Rut	1	11	Kicnc̣ az fèlèlè  Foꝛdollatok== ==mėg  ėn lėanim / Miꝛė io̗to̗c èn vèlē  Minem valloc fiakat èn mėhembèn  touabba · hog fėꝛiekèt èn bèlo̗llèm rèmēlhètnėtec 
Rut	1	12	Foꝛdollatok== ==m̄g  èn leanim  ⁊ mēnètėc èl  Mẻt ym̄ar vėnſėggèl mėǵfogatkoztā ſem vagoc kėz hazaſſaǵ ko̗tèlėnc̣  Es ha nappal ⁊ eyièl foǵhatnec  ⁊ fiakat zv̇lhètnėc ·
Rut	1	13	ha azokat akaꝛnatoc  vaꝛna toc  miglėn felno̗nc̣  ⁊ o̗ ifioſagoknac èztèndėi[e]t bèto̗ltènec · mièlo̗t hazaſkodnatoc mėǵaǵǵatoc  Kėꝛlèc  èn lanim  ne akaꝛiatoc èzt tėnnėtėc  mẻt tv̇ gėtꝛèlmètėc èngeṭ inkab nèhèzeit  ⁊ èn èllènėm ki mēt vꝛnac kèzè /
